rank	name	childcount	min	max	mode	median	mean	stddev
genus	Arsenophonus	1	2	2	2	2	2	0
genus	Syntrophobotulus	1	4	4	4	4	4	0
genus	Thermaerobacter	1	2	2	2	2	2	0
genus	Octadecabacter	2	2	2	2	2	2	0
genus	Thermus	7	2	2	2	2	2	0
genus	Thalassolituus	2	4	4	4	4	4	0
genus	GpIIb	2	2	2	2	2	2	0
genus	Jonesia	1	5	5	5	5	5	0
genus	Ketogulonicigenium	2	5	5	5	5	5	0
genus	Fibrobacter	2	3	3	3	3	3	0
genus	Sulfurospirillum	2	2	3		2.5	2.5	0.5
genus	Raoultella	1	8	8	8	8	8	0
genus	Pirellula	1	1	1	1	1	1	0
genus	Erythrobacter	1	1	1	1	1	1	0
genus	Halorubrum	1	3	3	3	3	3	0
genus	Phaeobacter	3	4	4	4	4	4	0
genus	Halovivax	1	2	2	2	2	2	0
genus	Polaribacter	1	2	2	2	2	2	0
genus	Chromohalobacter	1	5	5	5	5	5	0
genus	Ferroglobus	1	1	1	1	1	1	0
genus	Modestobacter	1	3	3	3	3	3	0
genus	Leptotrichia	1	5	5	5	5	5	0
genus	Desulfomicrobium	1	2	2	2	2	2	0
genus	Neorickettsia	3	1	1	1	1	1	0
genus	Methanoregula	2	1	1	1	1	1	0
